"id","grade","ref","tau","lvBeta","lvA","lvEes","laEmax","laEmin","laV0","vStressed","svr","cSys","pvr","hr","protocol","x","HR","CO","SV","EF","MAP","LAP","EDP","EDV","mPAP","RAP","E","A","EA","DT","ep","Eep","LAVI","TRv","SD","echoGrade","lapHigh"
"g0-ref",0,1,0.035,0.029,0.22,2.3,1.4,0.2,10,705,0.95,1.3,0.048,70,"volume",0,70,5.4801,78.287,0.57204,94.886,7.1296,8.9881,136.86,13.524,4.006,89.801,76.693,1.1709,226,11.84,7.5848,24.554,2.1264,1.8094,0,0
"g0-ref",0,1,0.035,0.029,0.22,2.3,1.4,0.2,10,705,0.95,1.3,0.048,70,"volume",-2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"g0-ref",0,1,0.035,0.029,0.22,2.3,1.4,0.2,10,705,0.95,1.3,0.048,70,"volume",-1500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"g0-ref",0,1,0.035,0.029,0.22,2.3,1.4,0.2,10,705,0.95,1.3,0.048,70,"volume",-1000,80.929,4.4667,55.193,0.54593,81.499,2.9193,2.5808,101.1,8.1313,1.1056,58.849,60.564,0.97168,411.75,12.061,4.8792,15.446,1.8105,1.388,0,0
"g0-ref",0,1,0.035,0.029,0.22,2.3,1.4,0.2,10,705,0.95,1.3,0.048,70,"volume",-750,77.074,4.8597,63.053,0.55656,86.615,3.7601,3.9739,113.29,9.4305,1.5525,66.883,64.132,1.0429,280.93,12.005,5.5714,17.749,1.9195,1.3997,0,0
"g0-ref",0,1,0.035,0.029,0.22,2.3,1.4,0.2,10,705,0.95,1.3,0.048,70,"volume",-500,73.992,5.1514,69.621,0.5643,90.247,4.7716,5.6088,123.38,10.78,2.1697,75.028,68.155,1.1008,261.47,11.949,6.2791,20.12,2.0095,1.5161,0,0
"g0-ref",0,1,0.035,0.029,0.22,2.3,1.4,0.2,10,705,0.95,1.3,0.048,70,"volume",-250,71.686,5.356,74.715,0.56924,92.985,5.9127,7.3524,131.26,12.161,2.9831,82.809,72.476,1.1426,242.66,11.898,6.9602,22.431,2.0792,1.6571,0,0
"g0-ref",0,1,0.035,0.029,0.22,2.3,1.4,0.2,10,705,0.95,1.3,0.048,70,"volume",250,68.718,5.5497,80.76,0.57335,96.328,8.3926,10.488,140.86,14.867,5.1982,95.797,80.64,1.188,211.54,11.765,8.1428,26.45,2.1566,1.9926,0,0
"g0-ref",0,1,0.035,0.029,0.22,2.3,1.4,0.2,10,705,0.95,1.3,0.048,70,"volume",500,67.693,5.5923,82.613,0.57415,97.516,9.7074,11.922,143.89,16.23,6.5061,100.85,84.151,1.1985,200.24,11.67,8.6419,28.153,2.1777,2.231,0,0
"g0-ref",0,1,0.035,0.029,0.22,2.3,1.4,0.2,10,705,0.95,1.3,0.048,70,"volume",750,66.788,5.6139,84.055,0.57449,98.591,11.071,13.335,146.31,17.619,7.888,104.95,87.243,1.2029,191.99,11.551,9.0855,29.652,2.193,2.5398,0,0
"g0-ref",0,1,0.035,0.029,0.22,2.3,1.4,0.2,10,705,0.95,1.3,0.048,70,"volume",1000,65.955,5.6222,85.243,0.57469,99.601,12.473,14.749,148.33,19.034,9.3271,108.11,89.993,1.2013,187.01,11.398,9.4853,30.943,2.2037,2.9113,0,0
"g0-ref",0,1,0.035,0.029,0.22,2.3,1.4,0.2,10,705,0.95,1.3,0.048,70,"volume",1500,64.405,5.6168,87.211,0.57541,101.4,15.369,17.647,151.56,21.922,12.33,112.29,94.775,1.1848,181.43,11.02,10.189,32.965,2.215,3.609,0,0
"g0-ref",0,1,0.035,0.029,0.22,2.3,1.4,0.2,10,705,0.95,1.3,0.048,70,"volume",2000,62.981,5.5933,88.81,0.57633,103.17,18.355,20.624,154.1,24.883,15.44,114.69,98.894,1.1597,179.36,10.583,10.837,34.404,2.2182,3.9385,0,0
"g0-ref",0,1,0.035,0.029,0.22,2.3,1.4,0.2,10,705,0.95,1.3,0.048,70,"afterload",0.7,70,5.8843,84.062,0.63171,74.29,6.8447,8.422,133.07,13.71,4.6409,91.875,73.818,1.2446,240.34,11.874,7.7376,25.004,2.1287,1.8983,0,0
"g0-ref",0,1,0.035,0.029,0.22,2.3,1.4,0.2,10,705,0.95,1.3,0.048,70,"afterload",0.85,70,5.6767,81.096,0.60027,84.987,6.9924,8.7136,135.1,13.615,4.3092,90.9,75.309,1.207,233.11,11.859,7.6654,24.773,2.1279,1.8099,0,0
