"id","grade","ref","tau","lvBeta","lvA","lvEes","laEmax","laEmin","laV0","vStressed","svr","cSys","pvr","hr","LAP","CO","SV","MAP","coMax","winLo","winHi","window","toWet","lap500","lap1000","co500","co1000","lapDiur","coDiur","aftLAP","aftSVpct","aftMAP","surgeLAP","surgeMAP","af70CO","af70LAP","af110CO","af110LAP","af130CO","af130LAP"
"g0-ref",0,1,0.035,0.029,0.22,2.3,2.9,0.2,10,705,0.95,1.3,0.048,70,7.0541,5.5122,78.767,95.447,5.6639,-560,1970,2530,1970,2.5421,5.2809,0.117,0.15162,-4.1444,-1.0246,0.36018,-10.55,28.535,3.4883,39.068,-10.074,0.7765,4.2141,1.0412,-0.87997,3.0359
"g0-001",0,0,0.032928,0.026993,0.22649,2.3606,3.5924,0.16203,11.538,666.62,1.086,1.4666,0.044431,73.662,5.6788,5.607,76.105,108.72,5.9037,-330,2000,2330,2000,2.3418,4.9555,0.19411,0.2659,-3.2866,-1.3386,0.084178,-12.495,30.321,3.0296,45.919,-12.705,1.0628,-1.5418,1.3739,-6.5508,3.331
"g0-002",0,0,0.034887,0.02817,0.21239,2.4234,3.5083,0.25746,10.213,678.46,0.93037,1.1961,0.079261,80.595,6.0905,6.0212,74.694,101.71,6.2771,-380,2000,2380,2000,2.2906,4.8309,0.19637,0.25132,-2.981,-1.4528,0.32332,-10.547,30.645,3.3105,44.538,-17.097,0.93222,-4.217,1.7328,-8.7663,3.9826
"g0-003",0,0,0.034367,0.030405,0.21507,2.2997,2.4768,0.20551,8.9818,741.49,1.115,1.5679,0.049771,74.963,7.5567,5.5418,73.922,110.66,5.7395,-500,1840,2340,1840,2.6585,5.4595,0.13899,0.18443,-4.2932,-1.0714,0.25311,-13.024,29.895,3.6103,42.505,-13.963,1.1816,-0.45002,0.97419,-4.8565,2.8693
"g0-004",0,0,0.030758,0.033494,0.22916,2.2336,2.8893,0.17703,14.101,726.15,1.0224,1.3354,0.037236,70.749,8.916,5.1875,73.311,96.055,5.337,-600,1490,2090,1490,2.9289,5.9684,0.10182,0.14172,-5.2929,-0.86358,0.446,-12.138,26.778,4.0561,36.514,-12.664,1.1681,6.6922,-0.08773,3.7193,1.0318
"g0-005",0,0,0.037021,0.029976,0.17651,2.3015,2.5633,0.21106,7.9664,718.38,1.0308,1.1783,0.049411,74.291,7.4094,5.7606,77.567,107.27,5.917,-560,1890,2450,1890,2.588,5.3564,0.12149,0.15552,-4.1253,-1.0791,0.43399,-11.375,31.223,3.6997,42.539,-13.569,0.96478,-0.42925,1.372,-5.6331,3.6821
"g0-006",0,0,0.033512,0.023823,0.2471,2.1821,2.6624,0.16308,12.585,796.13,1.0367,1.3122,0.054994,77.153,6.9475,6.2356,80.852,117.28,6.3841,-660,2000,2660,2000,2.4419,5.1492,0.10672,0.14259,-3.5155,-0.99505,0.30066,-11.196,34.218,3.2094,45.544,-16.929,1.4757,-1.2982,1.785,-5.3104,4.0421
"g0-007",0,0,0.033056,0.023312,0.24297,1.9274,2.657,0.18671,8.8381,725.54,0.80677,1.443,0.03812,58.611,6.3183,5.1326,87.578,77.718,5.2262,-720,2000,2720,2000,2.5169,5.2764,0.076519,0.093583,-3.8543,-0.7829,0.25405,-8.7834,24.232,3.0969,32.341,2.92,0.10214,20.01,0.84958,14.084,2.7587
"g0-008",0,0,0.037306,0.028426,0.2122,2.6313,3.4357,0.20522,10.499,653.26,0.92928,1.5421,0.037984,71.244,5.8112,5.7417,80.567,96.445,6.0165,-340,2000,2340,2000,2.3177,4.9005,0.19897,0.26253,-3.3171,-1.4234,0.011761,-10.887,28.646,2.9123,42.995,-10.351,0.71886,-1.7028,1.7438,-8.334,4.1143
"g0-009",0,0,0.035838,0.029253,0.19463,2.7123,2.4499,0.16961,11.869,745.19,1.0907,1.1877,0.037559,73.565,7.4368,6.0115,81.748,118,6.1736,-610,1880,2490,1880,2.5627,5.3341,0.11465,0.1555,-4.0462,-1.0218,0.279,-10.81,35.462,3.4108,47.387,-14.164,1.2153,-0.79442,1.5627,-6.1744,3.9791
"g0-010",0,0,0.029844,0.028753,0.22434,2.1835,2.8392,0.18652,8.7086,794.87,0.82064,1.1498,0.054967,64.301,8.1708,5.3283,82.865,82.741,5.3747,-920,1740,2660,1740,2.6619,5.4736,0.043795,0.044382,-4.5614,-0.57007,0.57264,-8.5293,25.928,3.6592,33.243,-5.0185,0.50143,19.039,0.28009,16.909,1.8116
"g0-011",0,0,0.037211,0.038544,0.23077,2.6968,3.1023,0.20978,9.849,682.75,0.81971,1.1741,0.044452,65.594,9.0997,4.8925,74.604,74.404,5.0043,-610,1510,2120,1510,2.889,5.8064,0.094409,0.11182,-5.5387,-0.85488,0.46312,-9.0914,23.286,3.997,31.378,-6.9157,0.64015,10.161,-0.12913,4.8451,1.4085
"g0-012",0,0,0.03506,0.024359,0.16888,2.5012,2.5634,0.22679,8.2035,714.1,0.89126,1.3762,0.050291,60.435,5.3907,5.4353,89.924,89.574,5.5934,-610,2000,2610,2000,2.3708,5.0048,0.10254,0.14748,-3.299,-0.91943,-0.010323,-8.1965,29.268,2.6418,38.869,0.88559,0.12562,13.22,1.7132,5.8996,4.1921
"g0-013",0,0,0.040766,0.031695,0.23803,2.139,2.4106,0.2247,8.4911,712.4,0.82368,1.2791,0.038348,72.221,8.7382,5.5769,77.24,84.718,5.7072,-580,1600,2180,1600,2.7999,5.6732,0.10714,0.13025,-5.009,-1.0218,0.48201,-10.649,24.821,3.9673,33.758,-12.593,0.84558,1.1525,0.91091,-4.7136,2.9497
"g0-014",0,0,0.03231,0.035191,0.19601,2.2608,2.7979,0.21527,9.0878,766.44,1.0631,1.1677,0.053398,73.009,9.8776,5.2379,71.757,101.06,5.3409,-720,1340,2060,1340,2.9652,6.005,0.080716,0.10299,-5.5916,-0.73891,0.73313,-12.114,28.162,4.4281,37.13,-13.912,1.1219,6.3023,-0.084618,3.5658,1.1666
"g0-015",0,0,0.036499,0.03006,0.22554,2.0754,2.8414,0.17591,11.858,687.89,0.81579,1.3025,0.038934,72.81,7.4056,5.6905,78.176,85.469,5.8554,-530,1860,2390,1860,2.6388,5.4446,0.12676,0.16488,-4.3785,-1.1418,0.36931,-10.569,25.199,3.6347,34.938,-13.689,1.0294,1.1493,1.0193,-3.8146,2.8419
"g0-016",0,0,0.037789,0.028135,0.2619,2.2109,2.4844,0.14684,9.9296,688.3,0.93698,1.1972,0.033455,73.876,7.3002,5.7828,78.3,98.309,5.9965,-480,1880,2360,1880,2.6111,5.4179,0.14567,0.19821,-4.143,-1.1873,0.31719,-11.292,28.597,3.5667,40.032,-15.381,1.3175,-2.6921,1.4117,-8.227,3.4647
"g0-017",0,0,0.033877,0.033343,0.19478,1.9115,3.1389,0.19796,9.7184,763.9,0.99379,1.2574,0.051066,71.561,9.5525,5.141,71.837,93.39,5.2415,-720,1390,2110,1390,2.9472,5.9943,0.075804,0.10049,-5.4704,-0.737,0.73158,-12.42,25.363,4.3844,33.81,-12.997,1.0424,6.8282,0.04932,3.8726,1.3285
"g0-018",0,0,0.028033,0.032352,0.21528,2.4703,2.863,0.14419,11.019,662.47,0.88923,1.1925,0.043275,76.834,6.7774,5.8637,76.312,94.74,6.0937,-440,1980,2420,1980,2.5856,5.3602,0.16114,0.21492,-4.1385,-1.261,0.30322,-10.651,28.346,3.5365,40.087,-17.764,1.5185,0.24808,0.69775,-2.2814,1.9352
"g0-019",0,0,0.037856,0.025207,0.21156,2.647,3.3038,0.14825,8.9264,761.21,1.006,1.2504,0.046176,71.307,6.3334,6.1688,86.477,112.89,6.3236,-630,2000,2630,2000,2.3496,4.9945,0.10935,0.14631,-3.2997,-1.0239,0.16399,-9.6498,35.327,2.8992,46.888,-12.522,1.1677,-0.952,2.3849,-7.5592,5.1771
"g0-020",0,0,0.041035,0.028996,0.20871,2.3961,2.6419,0.25232,9.6359,730.39,0.81983,1.1197,0.047659,66.326,7.6794,5.5436,83.589,84.829,5.623,-730,1870,2600,1870,2.5646,5.2957,0.072317,0.075618,-4.3468,-0.84661,0.46816,-8.4752,27.082,3.5174,35.291,-6.1464,0.36545,7.2816,1.5471,0.1548,4.1119
"g0-021",0,0,0.031239,0.025366,0.20485,2.3654,3.165,0.20421,13.603,621.78,1.1172,1.576,0.046747,63.423,4.5644,4.9314,77.763,98.442,5.2054,-300,2000,2300,2000,2.2174,4.79,0.18773,0.25327,NA,NA,0.017005,-11.889,28.276,2.7267,43.509,-2.5648,0.28841,6.5184,1.0939,0.81852,2.9706
"g0-022",0,0,0.033182,0.028884,0.20378,2.0354,2.5436,0.18114,11.026,677.14,0.92175,1.4296,0.049764,74.209,6.3979,5.604,75.522,93.818,5.8166,-440,2000,2440,2000,2.4998,5.2138,0.15744,0.2074,-3.8082,-1.2391,0.28371,-11.718,26.569,3.4335,38.261,-13.499,1.0089,0.62533,1.0483,-3.6387,2.7972
"g0-023",0,0,0.032202,0.023828,0.25143,2.5332,2.7125,0.219,9.8195,647.03,0.94001,1.4906,0.03435,72.193,5.2255,6.007,83.173,101.74,6.3073,-320,2000,2320,2000,2.1881,4.7252,0.21734,0.28792,NA,NA,-0.035439,-11.049,30.14,2.6656,45.855,-10.502,0.66185,-0.061537,1.6404,-5.7366,3.792
"g0-024",0,0,0.036672,0.030016,0.21211,2.3024,2.7499,0.18883,9.3402,736.74,0.75493,1.5601,0.048961,69.051,7.0346,5.7207,82.871,80.903,5.832,-650,2000,2650,2000,2.4713,5.154,0.093294,0.11135,-4.0703,-0.96855,0.27084,-8.8831,25.139,3.2023,33.748,-9.8505,0.73049,5.5035,1.2785,0.14404,3.3323
"g0-025",0,0,0.038387,0.030818,0.25835,2.1116,3.2824,0.18977,11.03,727.32,0.87061,1.31,0.047347,79.09,8.4198,5.8975,74.56,93.901,6.0756,-520,1670,2190,1670,2.7089,5.552,0.13328,0.17309,-4.5775,-1.1544,0.43943,-11.431,26.751,3.8756,37.194,-19.117,1.4194,-4.2774,1.2366,-8.765,3.1393
"g0-026",0,0,0.036324,0.025523,0.18943,2.2295,2.4218,0.25855,9.733,716.99,0.86603,1.561,0.065746,80.493,5.7729,6.402,79.514,101.14,6.6563,-380,2000,2380,2000,2.1891,4.7092,0.20611,0.25428,-2.5151,-1.5625,0.014523,-10.779,29.874,2.7241,43.765,-16.743,0.83819,-5.1137,2.1465,-10.444,4.6895
