"grade","t_min","vol_mL","HR","CO","SV","EF","MAP","LAP","EDP","EDV","mPAP","RAP","E","A","EA","DT","ep","Eep","LAVI","TRv","SD","echoGrade","lapHigh"
0,0,0,69.982,5.5122,78.767,0.57223,95.447,7.0541,9.1252,137.65,13.483,4.0181,89.046,76.753,1.1602,225.77,11.836,7.523,24.407,2.1279,2.2698,0,0
0,5,143.02,69.219,5.5613,80.344,0.57323,96.334,7.7624,10.014,140.16,14.248,4.6862,92.556,78.257,1.1827,217.64,11.799,7.8445,25.507,2.1467,2.3982,0,0
0,10,241.56,68.759,5.587,81.256,0.57366,96.919,8.2585,10.604,141.64,14.778,5.1733,94.781,79.234,1.1962,212.19,11.765,8.0563,26.223,2.1573,2.4985,0,0
0,15,313.14,68.406,5.5988,81.846,0.57388,97.24,8.6189,11.014,142.62,15.15,5.5356,96.279,79.895,1.2051,208.21,11.74,8.2008,26.716,2.1633,2.5787,0,0
0,20,368.36,68.173,5.609,82.277,0.57404,97.528,8.9044,11.334,143.33,15.448,5.8217,97.406,80.394,1.2116,205.71,11.721,8.3104,27.092,2.1681,2.6453,0,0
0,25,413.65,67.992,5.6181,82.63,0.57427,97.733,9.1415,11.597,143.88,15.694,6.0613,98.308,80.794,1.2168,203.48,11.705,8.3991,27.399,2.1717,2.7033,0,0
0,30,452.93,67.832,5.6238,82.908,0.57436,97.928,9.3478,11.822,144.35,15.908,6.2693,99.058,81.136,1.2209,202.1,11.691,8.473,27.656,2.1747,2.756,0,0
0,35,345.54,68.278,5.6069,82.119,0.57407,97.411,8.7882,11.206,143.05,15.327,5.7042,96.962,80.195,1.2091,206.53,11.73,8.2662,26.944,2.1662,2.6173,0,0
0,40,280.4,68.596,5.5969,81.592,0.57384,97.143,8.4568,10.832,142.19,14.989,5.3711,95.625,79.61,1.2012,209.99,11.754,8.1355,26.499,2.1611,2.5414,0,0
0,45,240.9,68.757,5.5855,81.235,0.57355,96.942,8.255,10.597,141.64,14.774,5.1678,94.762,79.23,1.196,211.73,11.765,8.0547,26.217,2.1573,2.4978,0,0
0,50,216.94,68.874,5.5807,81.028,0.57351,96.786,8.1337,10.455,141.29,14.646,5.0496,94.235,78.995,1.1929,213.06,11.776,8.002,26.045,2.1548,2.4727,0,0
0,55,202.4,68.944,5.577,80.893,0.57343,96.706,8.0612,10.37,141.08,14.567,4.9774,93.912,78.853,1.191,213.87,11.776,7.9746,25.94,2.1535,2.4574,0,0
0,60,193.59,68.96,5.5734,80.821,0.57341,96.622,8.0148,10.318,140.95,14.515,4.9316,93.704,78.76,1.1897,214.42,11.78,7.9545,25.874,2.1521,2.4487,0,0
0,65,146.58,69.226,5.5642,80.377,0.57324,96.406,7.7822,10.039,140.22,14.276,4.7047,92.651,78.303,1.1832,217.3,11.792,7.8569,25.536,2.1476,2.4017,0,0
0,70,101.67,69.453,5.5506,79.919,0.57297,96.131,7.5586,9.7651,139.49,14.034,4.4895,91.588,77.842,1.1766,219.61,11.81,7.7553,25.199,2.1422,2.3592,0,0
0,75,58.032,69.694,5.5368,79.444,0.57269,95.871,7.3431,9.4956,138.73,13.803,4.2859,90.527,77.389,1.1698,222.31,11.821,7.658,24.865,2.1368,2.3197,0,0
0,80,15.172,69.94,5.5219,78.952,0.57237,95.601,7.1328,9.2271,137.95,13.576,4.0903,89.456,76.937,1.1627,225,11.832,7.5603,24.531,2.1309,2.2826,0,0
0,85,-27.218,70.194,5.5061,78.44,0.57209,95.316,6.9264,8.9555,137.12,13.35,3.9018,88.38,76.483,1.1555,227.45,11.841,7.4636,24.198,2.1246,2.2473,0,0
0,90,-69.323,70.453,5.4875,77.888,0.5717,95.008,6.721,8.6799,136.25,13.125,3.7193,87.266,76.015,1.148,230.26,11.852,7.3629,23.854,2.1177,2.2135,0,0
